,No.,Title,Artist(s),Year,spo_name,explicit,images,release_date,preview_url
859,60,"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends,2013,Boys 'Round Here (feat. Pistol Annies & Friends),False,https://i.scdn.co/image/ab67616d0000b273de2b6ae73697b2da4d3e9c27,2013-03-26,https://p.scdn.co/mp3-preview/462ed45aa32d848c90a4be54002e4014a6c1d66e?cid=914d599079cf414bb7441d9c09e8dd1d
860,61,"""Gone, Gone, Gone""",Phillip Phillips,2013,"Gone, Gone, Gone",False,https://i.scdn.co/image/ab67616d0000b273d9009cc16eddbc6664508cd8,2013-01-01,
861,62,"""Demons""",Imagine Dragons,2013,Demons,False,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a,2012-09-04,
862,63,"""Counting Stars""",OneRepublic,2013,Counting Stars,False,https://i.scdn.co/image/ab67616d0000b273e80e7dbce3996a1ae5967751,2014-01-01,
863,64,"""I Cry""",Flo Rida,2013,I Cry,False,https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09,2012-06-22,https://p.scdn.co/mp3-preview/60843f82dda9ccf24caa1cc22a2e2e20a92c5e81?cid=914d599079cf414bb7441d9c09e8dd1d
864,65,"""Little Talks""",Of Monsters and Men,2013,Little Talks,False,https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262,2012-01-01,
865,66,"""The Other Side""",Jason Derulo,2013,The Other Side Of Paradise,True,https://i.scdn.co/image/ab67616d0000b273ec3d15eab5bd77027abc4b23,2016-08-26,
866,67,"""Berzerk""",Eminem,2013,Berzerk,True,https://i.scdn.co/image/ab67616d0000b273cb66bcc14c6f857c127d5969,2013-11-05,
867,68,"""Catch My Breath""",Kelly Clarkson,2013,Catch My Breath,False,https://i.scdn.co/image/ab67616d0000b2737c5196593b6ab9382a794d26,2012-11-19,https://p.scdn.co/mp3-preview/be9786516631e89970811b84ab3e6c6471b006ae?cid=914d599079cf414bb7441d9c09e8dd1d
868,69,"""Crash My Party""",Luke Bryan,2013,Crash My Party,False,https://i.scdn.co/image/ab67616d0000b27316fce2616744168b30462991,2013-01-01,
869,70,"""Pour It Up""",Rihanna,2013,Pour It Up,True,https://i.scdn.co/image/ab67616d0000b2730e6cedee56e37a9a65f2164d,2012-12-11,
870,71,"""22""",Taylor Swift,2013,22 (Taylor's Version),False,https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,2021-11-12,
871,72,"""I Want Crazy""",Hunter Hayes,2013,I Want Crazy - Encore,False,https://i.scdn.co/image/ab67616d0000b2732a0070a89eb69a9cc7914f49,2011,https://p.scdn.co/mp3-preview/b38dab004b65090f57eb4b65397e4fb05c7a5af4?cid=914d599079cf414bb7441d9c09e8dd1d
872,73,"""The Fox (What Does the Fox Say?)""",Ylvis,2013,The Fox (What Does the Fox Say?),False,https://i.scdn.co/image/ab67616d0000b273078f1176c3c725de8e95f490,2013-09-02,https://p.scdn.co/mp3-preview/5a37b8434b9ef685c749431eb539e033b23b0ed2?cid=914d599079cf414bb7441d9c09e8dd1d
873,74,"""Best Song Ever""",One Direction,2013,Best Song Ever,False,https://i.scdn.co/image/ab67616d0000b2732f76b797c382bedcafdf45e1,2013-11-25,https://p.scdn.co/mp3-preview/02455407da5ad456247a13f0e8d79bc418416d0f?cid=914d599079cf414bb7441d9c09e8dd1d
874,75,"""The A Team""",Ed Sheeran,2013,The A Team,False,https://i.scdn.co/image/ab67616d0000b273f0e911d0e5aadefc431bf34a,2011-09-09,https://p.scdn.co/mp3-preview/cbaa51bb2bf76548446f23e968933cc352ad4cad?cid=914d599079cf414bb7441d9c09e8dd1d
