,No.,Title,Artist(s),Year,spo_name,spo_id,explicit,images,release_date,preview_url,itunes_name,apple_id,genre,trackTime,trackView
343,44,"""Gucci Gang""",Lil Pump,2018,Gucci Gang,43ZyHQITOjhciSUUNPVRHc,True,https://i.scdn.co/image/ab67616d0000b273d52ef190ae5253eb2c3c764c,2017-10-06,https://p.scdn.co/mp3-preview/d429188071667a3137140112e1db8e5169be269a?cid=914d599079cf414bb7441d9c09e8dd1d,Gucci Gang,1292381954,Hip-Hop/Rap,124056,https://music.apple.com/us/album/gucci-gang/1292381888?i=1292381954&uo=4
344,45,"""Him & I""",G-Eazy and Halsey,2018,Him & I (with Halsey),5k38wzpLb15YgncyWdTZE4,True,https://i.scdn.co/image/ab67616d0000b273046527a9c176f7c2916f3530,2017-12-15,https://p.scdn.co/mp3-preview/6145c955fbbf7fcfe708d4551ebdc2d74c1bc6c3?cid=914d599079cf414bb7441d9c09e8dd1d,HIM,1308645368,Pop,190087,https://music.apple.com/us/album/him/1536646939?i=1536647529&uo=4
345,46,"""In My Blood""",Shawn Mendes,2018,In My Blood,2QZ7WLBE8h2y1Y5Fb8RYbH,False,https://i.scdn.co/image/ab67616d0000b273269423eb6467e308c0fbce24,2018-05-25,,In My Blood,1376115725,Pop,211360,https://music.apple.com/us/album/in-my-blood/1376115721?i=1376115725&uo=4
346,47,"""All the Stars""",Kendrick Lamar and SZA,2018,All The Stars (with SZA),3GCdLUSnKSMJhs4Tj6CV3s,True,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,2018-02-09,,All the Stars,1448895719,Hip-Hop/Rap,233920,https://music.apple.com/us/album/all-the-stars/1448895706?i=1448895719&uo=4
347,48,"""Stir Fry""",Migos,2018,Stir Fry,2UVbBKQOdFAekPTRsnkzcf,True,https://i.scdn.co/image/ab67616d0000b2739c188c494d8bfaf895411890,2018-01-26,,Stir Fry,1440907394,Hip-Hop/Rap,190288,https://music.apple.com/us/album/stir-fry/1440907256?i=1440907394&uo=4
348,49,"""Too Good at Goodbyes""",Sam Smith,2018,Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,False,https://i.scdn.co/image/ab67616d0000b273f3ea7140c4a8ba597d0b276b,2017-11-03,,Too Good at Goodbyes,1536646948,Pop,260523,https://music.apple.com/us/album/too-good-at-goodbyes-live-at-the-brits/1444861565?i=1444861857&uo=4
349,50,"""Love""",Kendrick Lamar featuring Zacari,2018,love nwantiti (ah ah ah),6PGoSes0D9eUDeeAafB2As,True,https://i.scdn.co/image/ab67616d0000b273405fdad252857e01dbced96a,2019-08-30,https://p.scdn.co/mp3-preview/793f76ef025906b417e69065c587f04725d2e6cd?cid=914d599079cf414bb7441d9c09e8dd1d,LOVE. (FEAT. ZACARI.),1440881708,Hip-Hop/Rap,213400,https://music.apple.com/us/album/love-feat-zacari/1440881047?i=1440881708&uo=4
350,51,"""This Is America""",Childish Gambino,2018,This Is America,0b9oOr2ZgvyQu88wzixux9,True,https://i.scdn.co/image/ab67616d0000b2733504664c17b7b99a3cb7d116,2018-05-06,https://p.scdn.co/mp3-preview/d13abc1cf1c9b5485f6d4e352dc43ea090a5d618?cid=914d599079cf414bb7441d9c09e8dd1d,This Is America,1379046390,Hip-Hop/Rap,225773,https://music.apple.com/us/album/this-is-america/1379045975?i=1379046390&uo=4
351,52,"""Nonstop""",Drake,2018,Nonstop,0TlLq3lA83rQOYtrqBqSct,True,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5,2018-06-29,,Nonstop,1418213266,Hip-Hop/Rap,238613,https://music.apple.com/us/album/nonstop/1418213110?i=1418213266&uo=4
352,53,"""Heaven""",Kane Brown,2018,Heaven,1HXy5I3HTWq8OvxCn0z7G7,False,https://i.scdn.co/image/ab67616d0000b273c7ee084acfc2d7ca0b112b5c,2017-10-06,https://p.scdn.co/mp3-preview/3a9db520226077ab6b760aeafac3e743e01cbd82?cid=914d599079cf414bb7441d9c09e8dd1d,Heaven,1277176588,Country,177334,https://music.apple.com/us/album/heaven/1277175594?i=1277176588&uo=4
353,54,"""Bodak Yellow""",Cardi B,2018,Bodak Yellow,6KBYefIoo7KydImq1uUQlL,True,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,2018-04-06,https://p.scdn.co/mp3-preview/7267de7996898438e7000229d082e410f9992489?cid=914d599079cf414bb7441d9c09e8dd1d,Bodak Yellow (feat. Messiah) [Latin Trap Remix],1272209545,Urbano latino,222720,https://music.apple.com/us/album/bodak-yellow-feat-messiah-latin-trap-remix/1272209538?i=1272209545&uo=4
354,55,"""Freaky Friday""",Lil Dicky featuring Chris Brown,2018,Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,True,https://i.scdn.co/image/ab67616d0000b273f1115552efd25fa498ec923a,2018-03-15,https://p.scdn.co/mp3-preview/a6f38d33890e6b13e25827d94ea8e78b9890738a?cid=914d599079cf414bb7441d9c09e8dd1d,Freaky Friday (feat. Chris Brown),1351005400,Hip-Hop/Rap,216632,https://music.apple.com/us/album/freaky-friday-feat-chris-brown/1351005381?i=1351005400&uo=4
355,56,"""Gummo""",6ix9ine,2018,GUMMO,4HbiCvH1R7mVOJ7KY7JQBD,True,https://i.scdn.co/image/ab67616d0000b27314d3a2a7a92b85a06c93e544,2018-04-10,,Gummo,1444610208,Hip-Hop/Rap,157643,https://music.apple.com/us/album/gummo/1444610205?i=1444610208&uo=4
356,57,"""Plug Walk""",Rich the Kid,2018,Plug Walk,1ZAyjvIk9YiD76yYy0TEG6,True,https://i.scdn.co/image/ab67616d0000b27364353426de6dfe0206f6d1d3,2018-03-30,,Plug Walk (Ufo361 Remix),1395717035,Hip-Hop/Rap,175125,https://music.apple.com/us/album/plug-walk-ufo361-remix-feat-ufo361/1395717012?i=1395717035&uo=4
357,58,"""Wait""",Maroon 5,2018,Wait a Minute!,0y60itmpH0aPKsFiGxmtnh,False,https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7,2015-01-11,,Wait,1396139739,Pop,190643,https://music.apple.com/us/album/wait/1396139711?i=1396139739&uo=4
358,59,"""Be Careful""",Cardi B,2018,Be Careful,2Yl4OmDby9iitgNWZPwxkd,True,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,2018-04-06,https://p.scdn.co/mp3-preview/f845586d875c960071ef1ffbd22d05375fded43f?cid=914d599079cf414bb7441d9c09e8dd1d,Be Careful (Cardi B),1368156579,Hip-Hop/Rap,207576,https://music.apple.com/us/album/be-careful-cardi-b/1495240106?i=1495240112&uo=4
359,60,"""Wolves""",Selena Gomez and Marshmello,2018,Wolves (feat. Post Malone),33gwZOGJWEZ7dRWPqPxBEZ,True,https://i.scdn.co/image/ab67616d0000b273b1b3fdd23be4c158d4d2c32f,2020-09-04,,Wolves (feat. Selena Gomez & Marshmello),1354082364,Pop,184947,https://music.apple.com/us/album/wolves-feat-selena-gomez-marshmello/1354082356?i=1354082364&uo=4
360,61,"""Bartier Cardi""",Cardi B featuring 21 Savage,2018,Bartier Cardi (feat. 21 Savage),0dIoGTQXDh1wVnhIiSyYEa,True,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,2018-04-06,https://p.scdn.co/mp3-preview/489fc9c4460c692e9449073aaac48a22820b6103?cid=914d599079cf414bb7441d9c09e8dd1d,Bartier Cardi (feat. 21 Savage),1368157223,Hip-Hop/Rap,224285,https://music.apple.com/us/album/bartier-cardi-feat-21-savage/1368156323?i=1368157223&uo=4
361,62,"""God Is a Woman""",Ariana Grande,2018,God is a woman,5OCJzvD7sykQEKHH7qAC3C,True,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394,2018-08-17,,God is a woman,1399202954,Pop,197545,https://music.apple.com/us/album/god-is-a-woman/1399202539?i=1399202954&uo=4
362,63,"""Big Bank""","YG featuring 2 Chainz, Nicki Minaj and Big Sean",2018,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",0ZNrc4kNeQYD9koZ3KvCsy,True,https://i.scdn.co/image/ab67616d0000b273f43405f32dfe1c07777c06af,2018-08-03,,"BIG BANK (feat. 2 Chainz, Big Sean & Nicki Minaj)",1418058530,Hip-Hop/Rap,237235,https://music.apple.com/us/album/big-bank-feat-2-chainz-big-sean-nicki-minaj/1418058054?i=1418058530&uo=4
363,64,"""Sorry Not Sorry""",Demi Lovato,2018,Sorry Not Sorry,0yvPEnB032fojLfVluFjUv,True,https://i.scdn.co/image/ab67616d0000b273f70868aec6eebfea4cd16c70,2017-09-29,,Sorry Not Sorry,1445318194,Dance,224720,https://music.apple.com/us/album/sorry-not-sorry-freedo-remix/1445318187?i=1445318194&uo=4
